# StartTime = 05/03/2019 11:03:11.7297 AM
# FuelCalculationMethod = MassAirFlow
Time (sec), Vehicle speed (MPH), Absolute throttle position (%), Calculated load value (%), Distance traveled while MIL is activated (miles), Engine coolant temperature (F), Engine RPM (RPM), Ignition timing advance for #1 cylinder (deg), Input voltage read by the scan tool (V), Intake air temperature (F), Intake manifold absolute pressure (inHg), Mass air flow rate (lb/min), OBD requirements to which vehicle or engine is certified, Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
2.185,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.246,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.308,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.373,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.432,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.497,0,10.58823,26.27451,0,69.8,1164,4,12.9,64.4,64.67092,0,5,0,0,0
2.558,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.623,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.685,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.746,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.808,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.87,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.934,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
2.995,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.057,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.123,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.184,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.249,0,10.58823,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.31,0,10.98039,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.369,0,10.98039,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.434,0,10.98039,26.27451,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.499,0,10.98039,25.88235,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.557,0,10.98039,25.88235,0,69.8,1168,4,12.9,64.4,64.67092,0,5,0,0,0
3.622,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
3.684,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
3.747,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
3.809,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
3.872,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
3.936,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
3.995,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.059,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.12,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.182,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.247,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.309,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.372,0,10.98039,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.433,0,13.72549,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.498,0,13.72549,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.559,0,13.72549,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.619,0,13.72549,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.684,0,13.72549,25.88235,0,69.8,1175,4,12.9,64.4,64.67092,0,5,0,0,0
4.747,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
4.809,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
4.87,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
4.932,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
4.996,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.057,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.121,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.183,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.246,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.307,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.372,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.435,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.494,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.56,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.62,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.684,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.744,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.81,0,13.72549,25.88235,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
5.87,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
5.932,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
5.996,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.057,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.123,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.185,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.248,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.309,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.37,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.432,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.496,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.558,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.619,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.682,0,13.72549,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.746,0,14.11765,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.807,0,14.11765,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.872,0,14.11765,25.88235,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.933,0,14.11765,25.09804,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
6.997,0,14.11765,25.09804,0,69.8,1184,4,12.9,64.4,64.67092,0,5,0,0,0
7.058,0,14.11765,25.09804,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
7.123,0,14.11765,25.09804,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
7.184,0,14.11765,25.09804,0,69.8,1181,4,12.9,64.4,64.67092,0,5,0,0,0
7.244,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.307,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.373,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.434,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.495,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.557,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.62,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.682,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.746,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.808,0,14.11765,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.872,0,15.68627,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.934,0,15.68627,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
7.994,0,15.68627,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
8.057,0,15.68627,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
8.122,0,15.68627,25.09804,0,69.8,1181,3.5,12.9,64.4,64.67092,0,5,0,0,0
8.185,0,15.68627,25.09804,0,69.8,1195,3.5,12.9,64.4,64.67092,0,5,0,0,0
8.249,0,15.68627,25.09804,0,69.8,1195,3.5,12.9,64.4,64.67092,0,5,0,0,0
8.309,0,15.68627,25.09804,0,69.8,1195,3.5,12.9,64.4,64.67092,0,5,0,0,0
8.369,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.434,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.499,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.557,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.623,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.682,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.746,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.807,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.872,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.933,0,15.68627,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
8.998,0,16.07843,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
9.06,0,16.07843,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
9.12,0,16.07843,25.09804,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
9.186,0,16.07843,24.70588,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
9.245,0,16.07843,24.70588,0,69.8,1195,4,12.9,64.4,64.67092,0,5,0,0,0
9.31,0,16.07843,24.70588,0,69.8,1193,4,12.9,64.4,64.67092,0,5,0,0,0
9.37,0,16.07843,24.70588,0,69.8,1193,4,12.9,64.4,64.67092,0,5,0,0,0
9.432,0,16.07843,24.70588,0,69.8,1193,4,12.9,64.4,64.67092,0,5,0,0,0
9.495,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.56,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.623,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.684,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.744,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.807,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.872,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.933,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
9.996,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.059,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.122,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.183,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.246,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.308,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.372,0,16.07843,24.70588,0,69.8,1193,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.435,0,16.07843,24.70588,0,69.8,1195,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.495,0,16.07843,24.70588,0,69.8,1195,3.5,12.9,64.4,64.67092,0,5,0,0,0
10.557,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.621,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.682,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.747,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.808,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.873,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.932,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
10.998,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.058,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.123,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.182,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.247,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.308,0,16.07843,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.373,0,16.86275,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.434,0,16.86275,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.499,0,16.86275,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.558,0,16.86275,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.623,0,16.86275,24.70588,0,69.8,1195,4,13,64.4,64.67092,0,5,0,0,0
11.685,0,16.86275,24.70588,0,69.8,1200,4,13,64.4,64.67092,0,5,0,0,0
11.745,0,16.86275,24.70588,0,69.8,1200,4,13,64.4,64.67092,0,5,0,0,0
11.81,0,16.86275,24.70588,0,69.8,1200,4,13,64.4,64.67092,0,5,0,0,0
11.87,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
11.935,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
11.995,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.058,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.121,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.183,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.247,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.308,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.372,0,16.86275,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.434,0,17.2549,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.499,0,17.2549,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.557,0,17.2549,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.622,0,17.2549,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.684,0,17.2549,24.70588,0,69.8,1200,3.5,13,64.4,64.67092,0,5,0,0,0
12.748,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
12.807,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
12.871,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
12.933,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
12.997,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.058,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.122,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.185,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.246,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.308,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.372,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.435,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.494,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.558,0,17.2549,24.70588,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.623,0,17.2549,24.31373,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.685,0,17.2549,24.31373,0,69.8,1203,3.5,13,64.4,64.67092,0,5,0,0,0
13.745,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
13.807,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
13.871,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
13.934,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
13.998,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.057,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.121,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.182,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.246,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.308,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.373,0,17.2549,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.432,0,16.86275,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.496,0,16.86275,24.31373,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.558,0,16.86275,25.09804,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.623,0,16.86275,25.09804,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.685,0,16.86275,25.09804,0,69.8,1202,3.5,13,64.4,64.67092,0,5,0,0,0
14.749,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
14.81,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
14.874,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
14.935,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
14.996,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.059,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.124,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.183,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.248,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.309,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.369,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.434,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.499,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.56,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.624,0,16.86275,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.682,0,18.43137,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.747,0,18.43137,25.09804,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.809,0,18.43137,24.31373,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.87,0,18.43137,24.31373,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.935,0,18.43137,24.31373,0,69.8,1201,3.5,13,64.4,64.67092,0,5,0,0,0
15.995,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.06,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.119,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.184,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.249,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.31,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.374,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.434,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.497,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.559,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.622,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.685,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.744,0,18.43137,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.81,0,21.17647,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.871,0,21.17647,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.932,0,21.17647,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
16.995,0,21.17647,24.31373,0,69.8,1206,3.5,13,64.4,64.67092,0,5,0,0,0
